AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
3/28/2009,0.065,3.223,,1/25/2009,-0.0068,0.1768,,3/31/2009,0.0383,3,,9/30/2016,0,0.693,,12/31/2018,6.7054,464.133,,,,,,9/30/2013,0.2225,21.865,,3/31/2009,0.0205,3.672,,3/31/2016,0.35,34.08
6/27/2009,0.0732,4.296,,4/26/2009,-0.0093,0.2621,,6/30/2009,0.0525,2.572,,12/31/2016,-0.0033,0.817,,6/30/2019,7.24,611.912,,,,,,12/31/2013,0.252,27.976,,6/30/2009,0.0165,4.183,,6/30/2016,0.14,24.85
9/26/2009,0.1007,5.5,,7/26/2009,-0.0048,0.2972,,9/30/2009,0.0525,3.062,,3/31/2017,-0.0167,1.3,,12/31/2019,7.4255,642.787,,,,,,3/31/2014,0.2565,27.821,,9/30/2009,0.023,4.668,,9/30/2016,0.28,23.37
12/26/2009,0.1336,6.305,,10/25/2009,0.005,0.3015,,12/31/2009,0.05,3.2,,6/30/2017,0.0033,1.417,,6/30/2020,3.21,722.575,,,,,,6/30/2014,0.248,29.161,,12/31/2009,0.0435,6.726,,12/31/2016,0.46,28.05
3/27/2010,0.1211,6.964,,1/31/2010,0.006,0.3529,,3/31/2010,0.0308,3.615,,9/30/2017,-0.0133,1.97,,12/31/2020,10.042,854.5,,,,,,9/30/2014,0.2023,29.348,,3/31/2010,0.0335,6.789,,3/31/2017,0.34,25.35
6/26/2010,0.1275,8.044,,5/2/2010,0.006,0.3602,,6/30/2010,0.06,3.259,,12/31/2017,-0.0386,1.75,,6/30/2021,11.22,1198.786,,,,,,12/31/2014,0.3445,26.467,,6/30/2010,0.023,5.463,,6/30/2017,0.3004,24.65
9/25/2010,0.1682,8.816,,8/1/2010,-0.0063,0.2107,,9/30/2010,0.0625,3.885,,3/31/2018,-0.02,1.45,,12/31/2021,12.1498,1498.848,,,,,,3/31/2015,0.258,27.667,,9/30/2010,0.0255,7.853,,9/30/2017,0.12,22.1
12/25/2010,0.2332,9.76,,10/31/2010,0.0038,0.2756,,12/31/2010,0.0467,4.357,,6/30/2018,-0.0233,1.533,,6/30/2022,15.69,1048.037,,,,,,6/30/2015,0.2495,26.935,,12/31/2010,0.0465,9,,12/31/2017,-0.02,20.925
3/26/2011,0.2318,10.602,,1/30/2011,0.0073,0.5448,,3/31/2011,0.0517,5.019,,9/30/2018,-0.0267,1.343,,12/31/2022,16.5109,1419.318,,,,,,9/30/2015,0.29,31.84,,3/31/2011,0.022,9.006,,3/31/2018,0.3,17
6/25/2011,0.2818,9.843,,5/1/2011,0.0058,0.4586,,6/30/2011,0.08,6.746,,12/31/2018,-0.0067,1.157,,6/30/2023,21.29,1967.838,,,,,,12/31/2015,0.358,38.804,,6/30/2011,0.021,10.225,,6/30/2018,0.5305,23.65
